arms_cluster_id,object_signature_cluster_id,leg_pose_variant,mult_top,mult_right,mult_bottom,mult_left
277,9080,,2.0,7.5,8.0,7.0
279,1,,1.5,3.5,6.0,3.5
279,9080,,2.0,8.0,7.5,7.5
28,1,,1.5,3.5,7.5,3.5
280,1,,1.5,2.5,5.5,2.5
280,9069,,2.0,3.0,6.0,3.0
281,1,,2.5,2.0,4.5,5.0
281,9080,,5.0,5.0,7.0,10.0
282,9069,,2.0,5.5,9.0,5.0
282,9073,,2.0,7.0,6.0,6.5
282,9080,,2.0,6.5,11.5,7.5
284,1,,1.5,3.0,6.5,3.0
284,9080,,2.0,8.5,9.0,7.5
285,1,,1.5,3.5,9.5,3.5
285,9069,,2.0,3.0,5.0,3.0
285,9080,,2.0,7.0,11.5,7.5
285,9080,1.0,3.5,6.0,7.5,6.0
285,9080,5.0,3.5,5.0,12.0,6.0
285,9081,,2.0,3.0,9.5,3.0
286,1,,2.5,3.5,5.5,3.5
286,9080,,2.5,8.0,7.0,6.0
287,1,,1.5,5.0,6.5,3.0
287,9080,,2.0,9.5,8.0,7.0
288,9080,,2.0,7.0,7.0,7.0
289,1,,1.5,1.5,5.0,4.0
289,9069,,2.0,2.5,9.5,5.5
289,9073,,2.0,4.0,9.5,8.0
289,9080,,2.0,6.5,9.0,10.0
289,9083,,2.0,2.0,10.0,7.0
29,1,,1.5,3.0,5.5,3.0
29,9080,,2.0,6.0,7.0,6.0
290,1,,1.5,3.0,4.5,3.0
290,9081,,2.0,2.5,4.5,2.5
291,1,,1.5,3.0,7.0,3.0
291,9069,,2.0,3.5,7.5,3.0
293,1,,1.5,4.0,5.5,2.5
293,9083,,2.0,4.0,5.0,4.0
294,1,,1.5,3.5,5.0,3.5
294,9069,,2.0,3.5,5.5,3.5
294,9081,,2.0,3.5,4.5,3.5
295,1,,1.5,2.5,4.5,2.5
296,1,,1.5,3.0,6.0,3.0
296,9069,,2.0,3.5,7.5,3.5
296,9070,,2.0,3.5,9.0,3.5
296,9080,,2.0,6.5,7.0,6.5
297,1,,1.5,3.0,4.0,3.0
298,1,,1.5,3.5,6.0,3.5
298,9069,,2.0,4.0,9.5,4.0
298,9082,,2.0,4.0,6.5,4.0
299,1,,1.5,3.0,4.5,3.0
299,9069,,2.0,3.0,5.0,3.0
299,9081,,2.0,3.5,5.0,3.5
3,9069,,2.0,3.0,5.0,3.0
30,1,,1.5,3.0,5.5,3.0
300,9069,,2.0,3.0,7.0,3.0
300,9070,,2.0,4.0,8.0,4.0
300,9080,,2.0,6.0,7.0,6.0
301,1,,1.5,3.0,5.5,3.0
302,1,,1.5,3.5,4.5,3.5
302,9081,,2.0,3.5,5.0,3.5
303,1,,1.5,2.5,3.5,2.5
304,1,,7.0,4.0,2.5,4.0
305,1,,1.5,2.5,5.0,2.5
305,310,,2.0,2.5,5.0,3.0
305,9069,,2.0,2.5,5.0,3.0
305,9081,,2.0,2.5,5.0,3.0
306,1,,1.5,4.0,5.0,4.0
306,9069,,2.0,4.0,5.0,4.0
306,9081,,2.0,4.5,6.0,4.0
307,1,,1.5,2.5,6.0,2.5
307,9069,,2.0,3.0,10.5,3.0
307,9082,,2.0,3.0,6.0,2.5
308,1,,1.5,3.0,10.5,3.0
308,7,,2.0,3.5,8.5,3.5
309,1,,1.5,4.0,7.0,4.0
309,217,,2.0,6.0,12.0,4.5
309,9080,,2.0,7.5,8.0,7.0
31,1,,1.5,3.0,4.0,3.0
310,1,,1.5,2.5,6.0,2.5
310,9080,,2.0,7.5,9.0,7.5
312,1,,1.5,4.0,5.5,4.0
312,9080,,2.0,7.0,6.5,6.5
313,1,,1.5,2.5,3.5,2.5
314,1,,2.0,3.5,5.0,3.5
314,9081,,2.0,4.0,5.0,2.5
315,1,,3.0,2.5,1.5,2.5
316,1,,1.5,3.5,4.5,3.5
316,9081,,2.0,2.5,9.0,4.0
317,1,,1.5,3.5,11.0,3.5
317,9069,,2.0,4.5,11.5,3.5
317,9080,,2.0,9.5,11.5,8.0
318,1,,2.0,7.0,5.0,2.0
318,9080,,2.0,9.0,6.0,4.5
319,9081,,2.0,3.0,4.0,3.0
32,9078,,2.0,3.5,5.5,3.5
32,9082,,2.0,4.0,5.5,4.0
320,217,,2.0,4.5,11.0,4.0
320,9080,,2.0,6.5,7.0,7.0
321,1,,1.5,4.0,5.0,2.0
322,1,,1.5,3.0,10.0,3.0
322,7,,2.0,3.0,5.5,3.0
322,9069,,2.0,3.0,5.5,3.0
323,1,,1.5,2.0,5.0,3.5
324,9069,,2.0,3.0,11.0,3.0
324,9083,,2.0,3.5,9.5,3.5
324,9083,3.0,3.5,3.5,8.5,4.5
324,9083,4.0,3.5,3.5,8.5,3.5
324,9083,5.0,3.5,3.5,12.0,3.5
325,1,,1.5,3.5,3.5,3.5
325,9080,,2.0,5.0,5.0,6.0
326,217,,2.0,5.5,11.0,5.5
326,232,,2.0,7.0,8.0,7.0
326,807,,2.0,4.0,9.0,4.5
326,9069,,2.0,4.0,8.5,4.0
326,9080,,2.0,7.5,7.0,7.5
327,1,,1.5,2.0,4.5,4.5
328,1,,1.5,3.0,5.5,3.0
328,232,,2.0,6.0,6.5,5.5
328,310,,2.0,6.0,7.0,6.5
328,9069,,2.0,3.5,6.5,3.5
328,9073,,2.0,7.5,7.5,7.5
328,9080,,2.0,6.5,6.0,6.0
329,1,,1.5,3.0,5.0,3.0
329,206,,2.0,2.5,5.0,2.5
329,9069,,2.0,3.0,5.0,3.0
329,9081,,2.0,3.0,5.0,3.0
329,9101,,2.0,3.0,5.0,3.0
33,281,,2.0,7.5,10.5,7.5
33,9080,,2.0,7.5,7.5,7.5
330,1,,1.5,3.0,5.0,3.0
330,310,,2.0,4.5,7.0,5.5
330,9069,,2.0,3.0,6.5,3.0
330,9073,,2.5,5.0,8.0,7.5
330,9081,,2.0,3.0,10.0,3.0
332,1,,1.5,3.5,7.5,3.5
332,9080,,2.0,7.0,7.0,7.5
334,1,,1.5,3.0,5.5,3.0
334,9080,,2.0,6.0,7.5,6.5
335,1,,1.5,3.0,5.5,3.0
335,118,,2.0,3.0,5.5,3.0
335,355,,2.0,3.0,5.5,3.0
335,7,,2.0,3.0,6.0,3.0
335,9069,,2.0,3.5,6.5,3.0
335,9083,,2.0,3.0,5.5,3.0
336,1,,1.5,3.0,10.0,3.0
336,604,,2.0,3.0,6.5,3.0
336,9069,,2.0,3.0,8.0,3.5
336,9082,,2.0,3.0,5.5,3.0
337,1,,1.5,3.5,4.5,3.5
337,310,,2.0,4.5,5.0,4.5
337,9069,,2.0,4.0,5.0,4.0
337,9073,,2.0,7.0,9.0,7.0
337,9081,,2.0,4.0,5.0,4.0
338,1,,1.5,2.5,4.0,2.5
339,1,,1.5,2.5,5.5,4.0
339,217,,2.0,3.5,10.5,5.5
339,9080,,2.0,6.0,8.0,9.5
34,9069,,4.0,3.5,11.0,3.5
34,9080,,4.5,7.5,11.0,7.5
34,9083,,4.5,3.5,10.0,3.5
34,9083,4.0,5.0,4.5,8.5,4.5
34,9083,5.0,5.0,4.0,11.5,4.0
340,1,,1.5,3.0,6.0,3.0
340,118,,2.0,3.0,5.5,3.0
340,9069,,2.0,3.0,6.5,3.0
340,9083,,2.0,3.0,5.5,3.0
342,1,,1.5,5.5,7.0,2.0
342,9069,,2.0,6.5,9.0,2.0
342,9080,,2.0,10.5,8.5,5.0
342,9082,,2.0,6.5,9.0,2.0
342,9083,,2.0,5.0,8.0,3.0
343,1,,2.0,3.5,5.0,3.5
343,9080,,2.0,6.5,7.5,7.0
344,1,,2.0,4.0,5.0,4.0
344,9069,,2.0,4.0,5.5,4.0
344,9081,,2.5,4.0,5.5,4.0
345,1,,2.0,5.5,8.0,3.5
345,310,,2.5,5.5,6.5,5.0
345,9069,,2.5,5.0,6.0,5.0
345,9080,,2.0,8.0,11.0,7.0
346,1,,1.5,3.0,5.5,3.0
346,9080,,2.0,6.0,7.0,5.5
347,1,,1.5,3.5,11.5,3.5
347,9069,,2.0,4.5,12.0,4.5
347,9080,,2.0,8.0,10.5,8.0
348,1,,1.5,2.5,4.5,2.5
350,1,,1.5,3.5,6.5,3.5
350,604,,2.0,4.0,8.5,4.0
350,9069,,2.0,3.5,10.5,3.5
351,1,,1.5,4.0,7.0,4.0
351,9080,,2.0,7.5,9.0,8.5
352,1,,1.5,2.5,4.0,2.5
353,1,,2.0,3.0,3.5,3.0
354,1,,1.5,3.5,5.5,3.5
355,1,,3.5,3.5,10.0,3.5
355,9069,,4.0,4.0,10.5,4.0
355,9080,,4.0,8.0,11.0,8.0
355,9082,,4.5,4.0,10.0,3.5
356,1,,1.5,5.0,6.0,5.0
356,217,,2.0,5.5,11.0,5.0
356,9080,,2.0,7.5,7.0,8.5
357,1,,2.0,3.5,4.5,3.5
358,1,,2.0,3.5,4.0,3.5
358,9069,,2.5,4.0,3.0,4.0
359,1,,1.5,2.5,5.0,2.5
359,9069,,2.0,3.0,5.0,2.5
359,9083,,2.0,3.0,5.5,2.5
360,1,,1.5,2.5,6.5,2.5
360,232,,2.0,7.5,11.0,8.0
360,355,,2.0,3.0,11.0,5.5
360,9069,,2.0,3.5,11.0,4.0
360,9080,,2.0,8.0,9.5,9.5
360,9083,,2.0,3.0,11.0,5.0
361,1,,1.5,4.5,4.0,3.0
361,9080,,2.0,7.0,6.0,5.5
362,9080,,3.5,6.0,9.0,9.5
363,1,,1.5,3.0,5.0,3.0
363,7,,2.0,3.0,5.0,3.0
363,9069,,2.0,2.5,5.0,3.0
364,1,,2.0,6.5,7.0,6.5
364,310,,2.0,6.0,6.0,6.0
364,9069,,2.0,6.0,10.5,6.0
364,9080,,2.0,7.5,11.0,7.5
365,1,,1.5,3.5,5.0,3.5
365,9069,,2.0,3.5,5.0,3.5
365,9080,,2.0,6.0,8.0,7.5
366,1,,3.5,5.5,7.5,5.5
367,1,,1.5,3.0,7.0,3.0
368,9069,,2.5,4.0,8.0,4.0
368,9080,,2.0,9.0,11.0,7.5
369,1,,1.5,3.0,10.5,3.0
369,9069,,2.0,3.0,10.5,3.0
37,1,,1.5,3.5,5.0,3.5
370,1,,1.5,2.5,7.5,5.0
370,9080,,2.0,6.0,8.5,8.5
371,1,,1.5,3.5,6.5,3.5
371,9069,,2.0,4.0,6.5,4.0
371,9080,,2.0,7.0,7.5,6.5
372,1,,1.5,3.0,4.5,3.0
372,9081,,2.0,3.0,4.5,3.0
373,1,,1.5,3.5,5.0,3.5
374,1,,2.0,1.5,3.0,5.0
374,9080,,2.0,4.5,4.0,8.0
375,1,,1.5,3.5,7.0,3.5
375,116,,2.0,3.5,10.5,5.0
375,209,,2.0,3.5,9.5,4.5
375,232,,2.0,7.5,8.5,7.5
375,397,,2.0,4.0,9.5,4.0
