class_id,conf_band,slot,slot_assignment_count,slot_unique_detections,slot_images
59,low_conf,waist,2537,2537,2537
60,low_conf,feet,16746,16746,16746
60,low_conf,left_hand,58712,58712,58712
60,low_conf,right_hand,53373,53373,53373
60,low_conf,waist,39765,39765,39765
63,low_conf,feet,56521,56521,56521
63,low_conf,left_eye,1667,1667,1667
63,low_conf,left_hand,101965,101965,101965
63,low_conf,mouth,14218,14218,14218
63,low_conf,right_eye,1657,1657,1657
63,low_conf,right_hand,98872,98872,98872
63,low_conf,shoulder,13438,13438,13438
63,low_conf,top_face,17,17,17
63,low_conf,waist,72474,72474,72474
67,low_conf,feet,39841,39841,39841
67,low_conf,left_eye,16425,16425,16425
67,low_conf,left_hand,194382,194382,194382
67,low_conf,mouth,39082,39082,39082
67,low_conf,right_eye,11497,11497,11497
67,low_conf,right_hand,236424,236424,236424
67,low_conf,shoulder,28905,28905,28905
67,low_conf,top_face,1009,1009,1009
67,low_conf,waist,67311,67311,67311
73,low_conf,feet,14136,14136,14136
73,low_conf,left_eye,9911,9911,9911
73,low_conf,left_hand,149579,149579,149579
73,low_conf,mouth,18528,18528,18528
73,low_conf,right_eye,9047,9047,9047
73,low_conf,right_hand,148017,148017,148017
73,low_conf,shoulder,12846,12846,12846
73,low_conf,top_face,1640,1640,1640
73,low_conf,waist,12297,12297,12297
74,low_conf,left_hand,19155,19155,19155
74,low_conf,right_hand,12666,12666,12666
74,low_conf,top_face,1663,1663,1663
80,low_conf,feet,576,576,576
80,low_conf,left_eye,150,150,150
80,low_conf,left_hand,7268,7268,7268
80,low_conf,mouth,207,207,207
80,low_conf,right_eye,149,149,149
80,low_conf,right_hand,7873,7873,7873
80,low_conf,shoulder,597,597,597
80,low_conf,top_face,47,47,47
80,low_conf,waist,755,755,755
81,low_conf,feet,1102,1102,1102
81,low_conf,left_eye,79,79,79
81,low_conf,left_hand,5012,5012,5012
81,low_conf,mouth,593,593,593
81,low_conf,right_eye,49,49,49
81,low_conf,right_hand,5113,5113,5113
81,low_conf,shoulder,667,667,667
81,low_conf,top_face,34,34,34
81,low_conf,waist,1441,1441,1441
82,low_conf,feet,1572,1572,1572
82,low_conf,left_eye,701,701,701
82,low_conf,left_hand,12315,12315,12315
82,low_conf,mouth,1594,1594,1594
82,low_conf,right_eye,598,598,598
82,low_conf,right_hand,13716,13716,13716
82,low_conf,shoulder,1903,1903,1903
82,low_conf,top_face,262,262,262
82,low_conf,waist,2024,2024,2024
83,low_conf,feet,1864,1864,1864
83,low_conf,left_eye,61,61,61
83,low_conf,left_hand,4030,4030,4030
83,low_conf,mouth,231,231,231
83,low_conf,right_eye,47,47,47
83,low_conf,right_hand,3822,3822,3822
83,low_conf,shoulder,623,623,623
83,low_conf,top_face,18,18,18
83,low_conf,waist,1688,1688,1688
84,low_conf,feet,47,47,47
84,low_conf,left_eye,22,22,22
84,low_conf,left_hand,1079,1079,1079
84,low_conf,mouth,40,40,40
84,low_conf,right_eye,17,17,17
84,low_conf,right_hand,1125,1125,1125
84,low_conf,shoulder,202,202,202
84,low_conf,top_face,61,61,61
84,low_conf,waist,192,192,192
86,low_conf,feet,356,356,356
86,low_conf,left_eye,23,23,23
86,low_conf,left_hand,2140,2140,2140
86,low_conf,mouth,138,138,138
86,low_conf,right_eye,21,21,21
86,low_conf,right_hand,2177,2177,2177
86,low_conf,shoulder,141,141,141
86,low_conf,top_face,9,9,9
86,low_conf,waist,360,360,360
88,low_conf,feet,116,116,116
88,low_conf,left_eye,8,8,8
88,low_conf,left_hand,464,464,464
88,low_conf,mouth,17,17,17
88,low_conf,right_eye,10,10,10
88,low_conf,right_hand,451,451,451
88,low_conf,shoulder,22,22,22
88,low_conf,waist,160,160,160
89,low_conf,feet,118,118,118
89,low_conf,left_eye,8,8,8
89,low_conf,left_hand,796,796,796
89,low_conf,mouth,466,466,466
89,low_conf,right_eye,2,2,2
89,low_conf,right_hand,925,925,925
89,low_conf,shoulder,1612,1612,1612
89,low_conf,top_face,1,1,1
89,low_conf,waist,434,434,434
90,low_conf,feet,91,91,91
90,low_conf,left_eye,30,30,30
90,low_conf,left_hand,1817,1817,1817
90,low_conf,mouth,1310,1310,1310
90,low_conf,right_eye,29,29,29
90,low_conf,right_hand,1902,1902,1902
90,low_conf,shoulder,1125,1125,1125
90,low_conf,waist,393,393,393
92,low_conf,left_eye,224,224,224
92,low_conf,left_hand,2038,2038,2038
92,low_conf,mouth,524,524,524
92,low_conf,right_eye,244,244,244
92,low_conf,right_hand,1891,1891,1891
92,low_conf,shoulder,856,856,856
92,low_conf,top_face,3203,3203,3203
92,low_conf,waist,69,69,69
94,low_conf,feet,410,410,410
94,low_conf,left_eye,78,78,78
94,low_conf,left_hand,2443,2443,2443
94,low_conf,mouth,301,301,301
94,low_conf,right_eye,61,61,61
94,low_conf,right_hand,2424,2424,2424
94,low_conf,shoulder,307,307,307
94,low_conf,top_face,45,45,45
94,low_conf,waist,734,734,734
95,low_conf,feet,920,920,920
95,low_conf,left_eye,223,223,223
95,low_conf,left_hand,13051,13051,13051
95,low_conf,mouth,1078,1078,1078
95,low_conf,right_eye,156,156,156
95,low_conf,right_hand,15673,15673,15673
95,low_conf,shoulder,2084,2084,2084
95,low_conf,top_face,17,17,17
95,low_conf,waist,2594,2594,2594
96,low_conf,feet,168,168,168
96,low_conf,left_eye,198,198,198
96,low_conf,left_hand,1785,1785,1785
96,low_conf,mouth,109,109,109
96,low_conf,right_eye,150,150,150
96,low_conf,right_hand,2381,2381,2381
96,low_conf,shoulder,219,219,219
96,low_conf,top_face,18,18,18
96,low_conf,waist,420,420,420
97,low_conf,feet,161,161,161
97,low_conf,left_eye,32,32,32
97,low_conf,left_hand,617,617,617
97,low_conf,mouth,103,103,103
97,low_conf,right_eye,26,26,26
97,low_conf,right_hand,615,615,615
97,low_conf,shoulder,158,158,158
97,low_conf,top_face,16,16,16
97,low_conf,waist,247,247,247
98,low_conf,feet,5,5,5
98,low_conf,left_hand,26,26,26
98,low_conf,mouth,1,1,1
98,low_conf,right_hand,27,27,27
98,low_conf,shoulder,2,2,2
98,low_conf,waist,7,7,7
99,low_conf,feet,7,7,7
99,low_conf,left_hand,52,52,52
99,low_conf,mouth,2,2,2
99,low_conf,right_eye,1,1,1
99,low_conf,right_hand,59,59,59
