class_id,conf_band,slot,slot_assignment_count,slot_unique_detections,slot_images
81,high_conf,right_eye,166,166,166
81,high_conf,right_hand,15842,15842,15842
81,high_conf,shoulder,1992,1992,1992
81,high_conf,top_face,32,32,32
81,high_conf,waist,4106,4106,4106
82,high_conf,feet,3088,3088,3088
82,high_conf,left_eye,2580,2580,2580
82,high_conf,left_hand,85064,85064,85064
82,high_conf,mouth,3892,3892,3892
82,high_conf,right_eye,2035,2035,2035
82,high_conf,right_hand,109617,109617,109617
82,high_conf,shoulder,7197,7197,7197
82,high_conf,top_face,495,495,495
82,high_conf,waist,7931,7931,7931
83,high_conf,feet,11197,11197,11197
83,high_conf,left_eye,132,132,132
83,high_conf,left_hand,26842,26842,26842
83,high_conf,mouth,436,436,436
83,high_conf,right_eye,135,135,135
83,high_conf,right_hand,24665,24665,24665
83,high_conf,shoulder,3717,3717,3717
83,high_conf,top_face,15,15,15
83,high_conf,waist,9386,9386,9386
84,high_conf,feet,888,888,888
84,high_conf,left_eye,232,232,232
84,high_conf,left_hand,4866,4866,4866
84,high_conf,mouth,629,629,629
84,high_conf,right_eye,194,194,194
84,high_conf,right_hand,5170,5170,5170
84,high_conf,shoulder,727,727,727
84,high_conf,top_face,172,172,172
84,high_conf,waist,1886,1886,1886
86,high_conf,feet,759,759,759
86,high_conf,left_eye,29,29,29
86,high_conf,left_hand,10458,10458,10458
86,high_conf,mouth,308,308,308
86,high_conf,right_eye,30,30,30
86,high_conf,right_hand,11396,11396,11396
86,high_conf,shoulder,349,349,349
86,high_conf,top_face,30,30,30
86,high_conf,waist,895,895,895
88,high_conf,feet,330,330,330
88,high_conf,left_eye,27,27,27
88,high_conf,left_hand,1358,1358,1358
88,high_conf,mouth,27,27,27
88,high_conf,right_eye,18,18,18
88,high_conf,right_hand,1903,1903,1903
88,high_conf,shoulder,98,98,98
88,high_conf,waist,383,383,383
89,high_conf,feet,834,834,834
89,high_conf,left_eye,54,54,54
89,high_conf,left_hand,1439,1439,1439
89,high_conf,mouth,2155,2155,2155
89,high_conf,right_eye,16,16,16
89,high_conf,right_hand,1837,1837,1837
89,high_conf,shoulder,10207,10207,10207
89,high_conf,top_face,1,1,1
89,high_conf,waist,2878,2878,2878
90,high_conf,feet,1717,1717,1717
90,high_conf,left_eye,364,364,364
90,high_conf,left_hand,17696,17696,17696
90,high_conf,mouth,12913,12913,12913
90,high_conf,right_eye,366,366,366
90,high_conf,right_hand,18797,18797,18797
90,high_conf,shoulder,11346,11346,11346
90,high_conf,waist,4857,4857,4857
92,high_conf,feet,2,2,2
92,high_conf,left_eye,1762,1762,1762
92,high_conf,left_hand,13160,13160,13160
92,high_conf,mouth,4133,4133,4133
92,high_conf,right_eye,1828,1828,1828
92,high_conf,right_hand,12537,12537,12537
92,high_conf,shoulder,6504,6504,6504
92,high_conf,top_face,23932,23932,23932
92,high_conf,waist,730,730,730
94,high_conf,feet,5080,5080,5080
94,high_conf,left_eye,567,567,567
94,high_conf,left_hand,29497,29497,29497
94,high_conf,mouth,3401,3401,3401
94,high_conf,right_eye,368,368,368
94,high_conf,right_hand,30118,30118,30118
94,high_conf,shoulder,2831,2831,2831
94,high_conf,top_face,134,134,134
94,high_conf,waist,8884,8884,8884
95,high_conf,feet,2974,2974,2974
