class_id,conf_band,total_detections,total_images,assigned_detections,assigned_images,total_slot_assignments,placed_rate_detection,unplaced_rate_detection,placed_rate_image,unplaced_rate_image,feet,left_eye,left_hand,mouth,right_eye,right_hand,shoulder,top_face,waist,share_left_hand,share_right_hand,share_top_face,share_left_eye,share_right_eye,share_mouth,share_shoulder,share_waist,share_feet,max_slot_share,max_slot_name,flag_fixed_low_placement,flag_fixed_slot_dominance,flag_fixed_waist_absence,flag_fixed_feet_absence,flag_iqr_low_placement,flag_iqr_slot_dominance,flag_mad_low_placement,flag_mad_slot_dominance,outlier_flag_count,outlier_reasons
116,all_conf,827,772,132.0,124.0,150.0,0.1596130592503023,0.8403869407496977,0.16062176165803108,0.8393782383419689,0.0,24.0,39.0,0.0,26.0,61.0,0.0,0.0,0.0,0.26,0.4066666666666667,0.0,0.16,0.17333333333333334,0.0,0.0,0.0,0.0,0.4066666666666667,right_hand,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
74,all_conf,282352,264795,46176.0,45978.0,60534.0,0.16354054513515046,0.8364594548648495,0.17363620914292188,0.8263637908570781,0.0,0.0,31290.0,0.0,0.0,25326.0,0.0,3918.0,0.0,0.5168995936168104,0.41837644959857273,0.06472395678461691,0.0,0.0,0.0,0.0,0.0,0.0,0.5168995936168104,left_hand,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
1,all_conf,57103,49518,12614.0,12534.0,19782.0,0.22089907710628162,0.7791009228937184,0.25312007754755844,0.7468799224524416,0.0,0.0,9834.0,0.0,0.0,9948.0,0.0,0.0,0.0,0.4971185926599939,0.5028814073400061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5028814073400061,right_hand,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
117,all_conf,148,131,38.0,33.0,44.0,0.25675675675675674,0.7432432432432432,0.25190839694656486,0.7480916030534351,0.0,5.0,18.0,0.0,2.0,19.0,0.0,0.0,0.0,0.4090909090909091,0.4318181818181818,0.0,0.11363636363636363,0.045454545454545456,0.0,0.0,0.0,0.0,0.4318181818181818,right_hand,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
119,all_conf,103,102,28.0,27.0,34.0,0.27184466019417475,0.7281553398058253,0.2647058823529412,0.7352941176470589,0.0,0.0,16.0,0.0,0.0,18.0,0.0,0.0,0.0,0.47058823529411764,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,right_hand,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
118,all_conf,1560,1385,433.0,385.0,491.0,0.2775641025641026,0.7224358974358974,0.2779783393501805,0.7220216606498195,0.0,35.0,175.0,0.0,26.0,255.0,0.0,0.0,0.0,0.3564154786150713,0.5193482688391039,0.0,0.07128309572301425,0.05295315682281059,0.0,0.0,0.0,0.0,0.5193482688391039,right_hand,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
110,all_conf,58447,55687,23868.0,23798.0,28417.0,0.40836997621776994,0.5916300237822301,0.42735288307863595,0.572647116921364,0.0,0.0,5809.0,16266.0,0.0,6342.0,0.0,0.0,0.0,0.20441988950276244,0.22317626772706478,0.0,0.0,0.0,0.5724038427701728,0.0,0.0,0.0,0.5724038427701728,mouth,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
115,all_conf,3266,3189,1450.0,1449.0,2856.0,0.4439681567666871,0.5560318432333129,0.4543744120413923,0.5456255879586077,0.0,1405.0,25.0,0.0,1398.0,28.0,0.0,0.0,0.0,0.008753501400560224,0.00980392156862745,0.0,0.49194677871148457,0.4894957983193277,0.0,0.0,0.0,0.0,0.49194677871148457,left_eye,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
114,all_conf,1944,1914,935.0,933.0,2648.0,0.4809670781893004,0.5190329218106996,0.48746081504702193,0.5125391849529781,0.0,847.0,26.0,0.0,850.0,25.0,0.0,900.0,0.0,0.009818731117824773,0.00944108761329305,0.33987915407854985,0.31986404833836857,0.32099697885196377,0.0,0.0,0.0,0.0,0.33987915407854985,top_face,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
113,all_conf,16436,9848,12233.0,7316.0,12791.0,0.7442808469213921,0.25571915307860793,0.7428919577579204,0.2571080422420796,0.0,6251.0,118.0,0.0,6293.0,107.0,11.0,11.0,0.0,0.009225236494410132,0.008365256821202408,0.0008599796732077241,0.4887029942928622,0.49198655304510985,0.0,0.0008599796732077241,0.0,0.0,0.49198655304510985,right_eye,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
