ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
86,77.0,183.0,11.0,11.0,194.0,13.0,46.0,68.0,25.0,20.0,88.0,5.0,67.0,51.0,4.0,0.0,0.0
87,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,26.0,24.0,4.0,2.0,25.0,5.0,23.0,19.0,5.0,5.0,20.0,1.0,14.0,13.0,1.0,0.0,0.0
89,60.0,141.0,7.0,4.0,137.0,19.0,42.0,75.0,16.0,12.0,39.0,4.0,57.0,46.0,7.0,0.0,0.0
90,0.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91,2.0,4.0,0.0,8.0,1.0,0.0,8.0,1.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
92,256.0,538.0,42.0,45.0,553.0,61.0,157.0,193.0,84.0,79.0,165.0,14.0,174.0,188.0,23.0,0.0,0.0
93,261.0,511.0,64.0,51.0,560.0,71.0,197.0,191.0,86.0,95.0,161.0,16.0,194.0,218.0,21.0,0.0,0.0
94,17.0,40.0,2.0,1.0,44.0,10.0,19.0,19.0,14.0,2.0,18.0,0.0,19.0,12.0,0.0,0.0,0.0
95,21.0,59.0,6.0,2.0,48.0,10.0,9.0,40.0,9.0,2.0,21.0,2.0,32.0,14.0,4.0,0.0,0.0
96,21.0,15.0,1.0,3.0,19.0,1.0,9.0,3.0,2.0,6.0,17.0,1.0,10.0,5.0,1.0,0.0,0.0
97,15.0,27.0,7.0,7.0,22.0,4.0,26.0,7.0,2.0,20.0,16.0,2.0,19.0,21.0,4.0,0.0,0.0
98,289.0,356.0,76.0,55.0,454.0,58.0,307.0,156.0,68.0,107.0,179.0,18.0,134.0,134.0,33.0,0.0,0.0
99,14.0,36.0,2.0,4.0,20.0,8.0,21.0,10.0,7.0,11.0,3.0,0.0,13.0,19.0,1.0,0.0,0.0
100,70.0,116.0,11.0,16.0,112.0,20.0,85.0,56.0,20.0,19.0,41.0,2.0,44.0,58.0,8.0,0.0,0.0
101,35.0,126.0,6.0,11.0,124.0,15.0,39.0,49.0,20.0,14.0,41.0,1.0,29.0,53.0,2.0,0.0,0.0
102,175.0,405.0,14.0,11.0,369.0,44.0,66.0,165.0,51.0,34.0,134.0,1.0,118.0,121.0,5.0,0.0,0.0
103,60.0,124.0,11.0,10.0,140.0,12.0,34.0,50.0,30.0,23.0,47.0,5.0,57.0,50.0,8.0,0.0,0.0
104,8.0,12.0,3.0,2.0,9.0,0.0,7.0,6.0,3.0,2.0,6.0,1.0,6.0,6.0,2.0,0.0,0.0
105,34.0,41.0,11.0,5.0,43.0,4.0,32.0,21.0,9.0,15.0,29.0,0.0,14.0,22.0,7.0,0.0,0.0
106,139.0,301.0,36.0,32.0,270.0,42.0,115.0,120.0,44.0,36.0,100.0,7.0,133.0,93.0,30.0,0.0,0.0
107,299.0,611.0,42.0,33.0,536.0,63.0,210.0,206.0,72.0,75.0,192.0,8.0,187.0,214.0,19.0,0.0,0.0
108,2.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
109,96.0,248.0,19.0,6.0,254.0,44.0,40.0,117.0,59.0,28.0,107.0,4.0,120.0,89.0,13.0,0.0,0.0
110,1.0,1.0,0.0,3.0,6.0,3.0,1.0,2.0,2.0,1.0,5.0,0.0,2.0,4.0,1.0,0.0,0.0
111,248.0,677.0,34.0,32.0,608.0,49.0,202.0,207.0,94.0,71.0,182.0,7.0,218.0,264.0,20.0,0.0,0.0
112,3.0,5.0,2.0,0.0,3.0,0.0,11.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0
113,21.0,52.0,6.0,9.0,65.0,5.0,33.0,20.0,9.0,11.0,25.0,0.0,14.0,39.0,6.0,0.0,0.0
114,12.0,9.0,10.0,3.0,17.0,2.0,13.0,5.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0
115,6.0,12.0,2.0,1.0,11.0,0.0,21.0,5.0,2.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0
116,16.0,38.0,5.0,4.0,48.0,3.0,21.0,13.0,4.0,6.0,13.0,0.0,10.0,22.0,0.0,0.0,0.0
117,1016.0,1811.0,270.0,318.0,1869.0,221.0,1307.0,710.0,310.0,351.0,596.0,69.0,544.0,849.0,132.0,0.0,0.0
118,55.0,59.0,12.0,13.0,62.0,5.0,98.0,22.0,17.0,29.0,31.0,2.0,13.0,33.0,8.0,0.0,0.0
