ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
76,27.0,71.0,7.0,5.0,59.0,9.0,17.0,13.0,10.0,13.0,21.0,1.0,22.0,26.0,4.0,0.0,0.0
77,15.0,30.0,8.0,12.0,29.0,7.0,29.0,13.0,7.0,10.0,16.0,3.0,13.0,22.0,3.0,0.0,0.0
78,15.0,44.0,3.0,0.0,30.0,4.0,4.0,17.0,12.0,2.0,11.0,1.0,12.0,9.0,1.0,0.0,0.0
79,6.0,4.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
80,31.0,43.0,10.0,7.0,53.0,6.0,42.0,16.0,4.0,5.0,10.0,1.0,12.0,13.0,3.0,0.0,0.0
81,22.0,21.0,8.0,10.0,36.0,6.0,15.0,17.0,8.0,10.0,25.0,0.0,16.0,8.0,1.0,0.0,0.0
82,24.0,79.0,9.0,4.0,68.0,5.0,26.0,28.0,20.0,25.0,38.0,1.0,32.0,20.0,3.0,0.0,0.0
83,12.0,19.0,0.0,0.0,12.0,0.0,3.0,7.0,2.0,5.0,2.0,1.0,13.0,11.0,1.0,0.0,0.0
84,28.0,21.0,10.0,14.0,23.0,8.0,29.0,10.0,8.0,14.0,14.0,6.0,10.0,10.0,3.0,0.0,0.0
85,18.0,25.0,2.0,5.0,35.0,6.0,30.0,5.0,4.0,6.0,14.0,2.0,11.0,21.0,5.0,0.0,0.0
86,3.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
87,7.0,30.0,3.0,1.0,28.0,2.0,0.0,3.0,3.0,0.0,10.0,0.0,8.0,10.0,0.0,0.0,0.0
88,2.0,5.0,0.0,0.0,1.0,1.0,15.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
89,6.0,25.0,2.0,3.0,15.0,2.0,13.0,10.0,2.0,4.0,9.0,1.0,6.0,11.0,2.0,0.0,0.0
90,7.0,10.0,0.0,0.0,10.0,1.0,3.0,10.0,7.0,0.0,3.0,0.0,2.0,11.0,0.0,0.0,0.0
91,58.0,64.0,8.0,7.0,66.0,11.0,56.0,17.0,9.0,10.0,23.0,2.0,15.0,24.0,10.0,0.0,0.0
92,4.0,14.0,1.0,1.0,12.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0
93,34.0,42.0,8.0,10.0,29.0,8.0,42.0,12.0,4.0,12.0,19.0,5.0,10.0,20.0,10.0,0.0,0.0
94,41.0,103.0,7.0,7.0,85.0,4.0,27.0,43.0,17.0,17.0,39.0,4.0,37.0,40.0,3.0,0.0,0.0
95,42.0,70.0,4.0,5.0,51.0,10.0,29.0,15.0,10.0,10.0,24.0,2.0,10.0,22.0,4.0,0.0,0.0
96,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
97,17.0,16.0,4.0,7.0,17.0,0.0,26.0,6.0,1.0,8.0,4.0,1.0,3.0,6.0,4.0,0.0,0.0
98,23.0,12.0,5.0,6.0,19.0,6.0,18.0,11.0,3.0,5.0,13.0,0.0,12.0,6.0,6.0,0.0,0.0
99,7.0,4.0,2.0,3.0,9.0,4.0,16.0,2.0,0.0,14.0,4.0,1.0,10.0,8.0,2.0,0.0,0.0
100,3.0,7.0,0.0,1.0,6.0,4.0,2.0,3.0,1.0,5.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0
101,30.0,75.0,3.0,0.0,68.0,11.0,12.0,26.0,12.0,6.0,28.0,0.0,20.0,22.0,0.0,0.0,0.0
102,13.0,69.0,2.0,1.0,42.0,6.0,4.0,16.0,6.0,2.0,14.0,0.0,11.0,20.0,0.0,0.0,0.0
103,16.0,10.0,14.0,13.0,27.0,4.0,29.0,6.0,5.0,30.0,7.0,10.0,5.0,9.0,15.0,0.0,0.0
104,44.0,33.0,11.0,7.0,33.0,5.0,54.0,18.0,4.0,9.0,21.0,2.0,8.0,12.0,3.0,0.0,0.0
105,26.0,45.0,2.0,0.0,48.0,3.0,12.0,26.0,9.0,3.0,13.0,0.0,12.0,21.0,1.0,0.0,0.0
106,21.0,28.0,6.0,8.0,27.0,3.0,33.0,10.0,4.0,14.0,16.0,5.0,6.0,16.0,3.0,0.0,0.0
107,5.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0
108,2.0,2.0,0.0,4.0,1.0,0.0,6.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
109,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,14.0,22.0,1.0,2.0,24.0,2.0,6.0,12.0,4.0,3.0,9.0,1.0,11.0,7.0,2.0,0.0,0.0
111,7.0,17.0,4.0,4.0,12.0,3.0,10.0,8.0,3.0,3.0,8.0,0.0,2.0,5.0,1.0,0.0,0.0
112,7.0,3.0,0.0,1.0,7.0,1.0,5.0,2.0,0.0,1.0,5.0,1.0,4.0,2.0,0.0,0.0,0.0
113,3.0,6.0,0.0,0.0,5.0,2.0,13.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0
114,3.0,0.0,2.0,0.0,2.0,1.0,9.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
115,55.0,186.0,2.0,3.0,201.0,5.0,37.0,86.0,19.0,10.0,55.0,0.0,49.0,74.0,1.0,0.0,0.0
116,17.0,25.0,5.0,1.0,33.0,0.0,12.0,5.0,5.0,5.0,10.0,0.0,11.0,6.0,0.0,0.0,0.0
117,6.0,10.0,0.0,2.0,5.0,5.0,6.0,2.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0
118,6.0,11.0,1.0,0.0,7.0,1.0,36.0,4.0,6.0,11.0,7.0,0.0,4.0,10.0,0.0,0.0,0.0
119,14.0,8.0,2.0,0.0,12.0,1.0,7.0,2.0,0.0,5.0,9.0,2.0,3.0,1.0,1.0,0.0,0.0
120,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,3.0,11.0,0.0,2.0,11.0,2.0,3.0,2.0,1.0,1.0,3.0,0.0,4.0,3.0,1.0,0.0,0.0
122,7.0,22.0,2.0,0.0,16.0,5.0,6.0,10.0,5.0,1.0,10.0,0.0,11.0,14.0,1.0,0.0,0.0
123,27.0,47.0,7.0,4.0,44.0,9.0,19.0,17.0,14.0,10.0,17.0,1.0,23.0,13.0,7.0,0.0,0.0
124,30.0,61.0,2.0,3.0,73.0,6.0,25.0,26.0,17.0,11.0,29.0,2.0,35.0,29.0,0.0,0.0,0.0
125,1.0,1.0,0.0,3.0,6.0,3.0,1.0,2.0,2.0,1.0,5.0,0.0,2.0,4.0,1.0,0.0,0.0
126,33.0,23.0,15.0,30.0,39.0,6.0,75.0,13.0,8.0,33.0,25.0,6.0,13.0,27.0,18.0,0.0,0.0
127,51.0,143.0,5.0,2.0,123.0,15.0,12.0,53.0,24.0,12.0,31.0,0.0,50.0,50.0,1.0,0.0,0.0
128,18.0,40.0,2.0,4.0,20.0,4.0,19.0,14.0,2.0,5.0,8.0,0.0,7.0,18.0,2.0,0.0,0.0
129,24.0,50.0,6.0,1.0,76.0,6.0,18.0,24.0,16.0,7.0,12.0,0.0,25.0,25.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
131,3.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
132,3.0,3.0,5.0,1.0,10.0,0.0,7.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
133,74.0,110.0,6.0,11.0,92.0,12.0,51.0,38.0,14.0,7.0,35.0,4.0,25.0,38.0,9.0,0.0,0.0
134,57.0,176.0,3.0,0.0,128.0,7.0,18.0,42.0,18.0,2.0,39.0,0.0,52.0,59.0,1.0,0.0,0.0
135,1.0,8.0,1.0,1.0,5.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0
136,34.0,54.0,9.0,8.0,55.0,12.0,19.0,18.0,6.0,6.0,24.0,3.0,22.0,15.0,2.0,0.0,0.0
137,56.0,168.0,5.0,2.0,173.0,6.0,24.0,81.0,15.0,11.0,44.0,1.0,42.0,63.0,3.0,0.0,0.0
