ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
756,51.0,483.0,907.0,3.0,12.0,5.0,33.0,20.0,12.0,6.0,9.0,70.0,22.0,9.0,67.0,15.0,24.0,9.0,16.0,99.0,35.0,7.0,4.0,477.0,3151.0
757,61.0,486.0,1658.0,6.0,44.0,13.0,157.0,80.0,68.0,20.0,16.0,206.0,29.0,9.0,81.0,43.0,33.0,35.0,34.0,203.0,41.0,42.0,5.0,1165.0,5292.0
758,29.0,247.0,203.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,5.0,11.0,7.0,26.0,4.0,11.0,0.0,2.0,18.0,8.0,0.0,1.0,103.0,1443.0
759,30.0,224.0,385.0,1.0,1.0,5.0,15.0,9.0,4.0,3.0,7.0,18.0,10.0,2.0,44.0,7.0,20.0,3.0,6.0,33.0,11.0,5.0,0.0,204.0,1806.0
760,51.0,645.0,620.0,1.0,3.0,0.0,5.0,3.0,8.0,1.0,0.0,9.0,20.0,5.0,71.0,4.0,17.0,1.0,1.0,27.0,19.0,1.0,0.0,196.0,2468.0
761,30.0,389.0,260.0,1.0,0.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,21.0,4.0,55.0,6.0,15.0,1.0,1.0,12.0,3.0,1.0,1.0,135.0,1710.0
762,64.0,726.0,519.0,8.0,1.0,0.0,8.0,7.0,6.0,0.0,1.0,4.0,32.0,12.0,52.0,9.0,21.0,1.0,2.0,16.0,7.0,3.0,2.0,192.0,2455.0
763,203.0,1409.0,1003.0,22.0,9.0,1.0,19.0,17.0,10.0,4.0,2.0,16.0,98.0,26.0,195.0,26.0,55.0,2.0,6.0,57.0,19.0,2.0,4.0,590.0,4558.0
764,72.0,579.0,1301.0,9.0,31.0,17.0,144.0,90.0,39.0,12.0,19.0,228.0,42.0,9.0,74.0,41.0,33.0,34.0,67.0,202.0,63.0,42.0,6.0,1202.0,5120.0
765,155.0,1800.0,1724.0,9.0,10.0,5.0,27.0,28.0,15.0,8.0,4.0,22.0,74.0,28.0,237.0,23.0,67.0,3.0,3.0,102.0,33.0,5.0,4.0,707.0,5858.0
766,19.0,176.0,152.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,5.0,22.0,6.0,4.0,0.0,2.0,21.0,5.0,0.0,0.0,79.0,1271.0
767,87.0,545.0,331.0,8.0,2.0,4.0,17.0,5.0,6.0,8.0,9.0,7.0,32.0,15.0,56.0,20.0,25.0,6.0,9.0,44.0,6.0,1.0,2.0,282.0,2294.0
