ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
57,1,67,69,1,1,0,3,2,1,2,0,3,6,1,14,5,3,1,3,14,2,3,0,65,324
116,20,240,102,2,1,0,6,2,1,2,3,3,4,2,20,2,9,0,0,4,2,1,0,64,606
216,17,219,87,0,1,2,8,0,1,2,3,4,10,6,12,2,3,0,1,8,0,0,1,64,667
6,5,111,56,1,0,1,9,2,2,5,3,1,5,2,6,4,7,1,2,11,0,1,0,63,304
56,33,214,60,0,1,0,2,3,1,0,2,0,7,6,13,2,11,0,0,12,1,1,1,63,489
91,5,144,100,0,1,0,1,1,0,6,2,7,5,1,15,2,5,1,2,8,4,0,0,61,462
189,10,150,96,3,1,1,6,0,0,5,3,2,5,0,13,3,5,0,0,10,3,0,0,60,565
187,27,197,60,1,1,1,5,1,1,7,1,3,5,2,8,4,11,0,1,6,0,0,1,59,589
102,10,248,78,1,0,1,1,2,0,1,0,0,2,2,30,1,11,0,0,6,0,0,0,58,554
135,12,195,116,0,0,0,5,1,2,4,0,3,3,3,22,1,8,0,0,5,0,0,0,57,572
207,17,192,84,1,2,1,3,0,1,1,0,0,3,3,18,2,10,0,1,9,1,0,0,56,612
105,5,101,71,1,2,2,7,2,1,0,2,2,0,1,7,4,5,2,3,9,5,0,0,55,392
180,35,250,62,3,0,1,0,0,3,1,0,0,9,2,14,3,11,0,0,4,2,0,2,55,637
99,9,119,47,2,1,3,3,3,2,7,4,0,3,3,6,4,1,0,2,8,1,0,0,53,380
145,17,184,77,0,0,3,1,0,1,2,0,0,5,1,18,0,9,1,1,8,1,2,0,53,529
61,6,58,71,0,0,1,4,1,2,1,2,4,0,1,12,2,1,1,1,16,2,1,0,52,300
138,4,73,47,0,1,0,3,0,0,2,6,4,0,3,11,2,2,0,2,10,2,1,0,49,360
1,2,167,88,0,0,0,2,1,3,1,1,6,4,1,14,1,3,0,3,5,1,1,0,47,352
107,18,169,82,0,1,0,1,2,2,0,3,1,3,1,10,1,3,1,4,10,3,1,0,47,470
211,18,271,84,1,0,0,3,0,3,1,5,1,2,4,10,1,7,0,0,5,1,1,0,45,674
240,18,165,78,0,0,0,3,0,3,3,3,1,2,2,8,1,5,1,0,12,1,0,0,45,591
68,7,104,53,1,0,0,1,0,0,1,2,1,2,2,15,5,1,0,0,7,5,0,1,44,320
118,5,110,83,0,0,0,1,1,0,0,0,2,2,0,14,1,4,1,0,10,7,1,0,44,404
245,18,151,45,0,0,1,1,1,0,1,0,0,2,2,18,4,9,0,0,3,1,0,0,43,545
35,3,78,87,0,0,0,1,0,1,0,3,4,2,2,6,2,5,2,3,6,4,0,0,41,285
158,6,213,79,0,0,0,1,0,1,0,0,0,2,3,13,3,9,1,0,7,1,0,0,41,538
254,11,192,52,1,0,0,1,0,0,1,0,0,6,2,14,2,6,0,2,2,2,0,0,39,587
137,27,176,41,0,0,0,1,0,1,1,0,0,1,1,16,0,11,0,0,6,0,0,0,38,457
194,21,172,47,0,0,0,2,0,0,0,0,0,1,4,7,5,15,0,0,4,0,0,0,38,510
140,1,41,50,0,0,1,2,0,0,1,1,3,2,0,11,0,0,0,10,4,1,1,0,37,306
231,14,128,31,0,0,0,0,0,0,1,1,1,1,2,9,3,17,0,1,1,0,0,0,37,478
70,12,171,52,2,0,0,2,0,0,0,0,2,1,1,16,2,5,0,0,4,0,1,0,36,377
25,1,47,46,0,1,0,6,0,2,2,0,0,2,1,5,0,2,1,2,8,0,0,0,32,183
42,5,108,86,0,0,1,0,1,0,1,0,1,2,2,5,1,12,0,0,4,0,1,1,32,305
224,18,90,17,0,0,0,1,0,0,1,1,0,0,1,12,6,7,0,1,2,0,0,0,32,413
235,10,115,33,0,0,0,1,0,0,0,0,0,3,0,16,1,6,0,0,2,0,0,0,29,451
133,12,105,48,0,0,0,0,1,0,0,0,0,1,2,8,2,7,1,1,4,0,0,1,28,354
41,9,152,39,0,0,0,2,3,1,0,0,1,2,1,12,0,2,0,1,2,0,0,0,27,295
151,1,57,26,1,0,0,0,0,0,1,1,2,1,1,12,0,2,0,1,4,0,0,0,26,287
250,4,105,46,1,0,0,0,1,0,0,0,0,2,0,12,0,5,2,0,2,1,0,0,26,457
51,3,84,79,1,0,0,1,0,0,0,0,0,2,0,10,0,3,0,1,4,0,0,1,23,263
44,5,50,21,0,0,0,2,0,0,1,0,1,0,0,13,0,1,0,0,2,2,0,0,22,164
199,4,47,36,0,2,0,1,0,1,0,1,0,0,1,7,0,2,0,1,2,4,0,0,22,330
39,2,29,46,0,0,0,3,1,0,1,1,0,6,0,3,2,0,0,0,4,0,0,0,21,158
191,7,116,42,0,0,0,2,0,0,0,0,1,1,0,10,2,3,0,0,1,1,0,0,21,398
62,25,151,20,0,0,0,0,0,0,0,0,0,0,0,6,1,10,0,0,3,0,0,0,20,298
