cluster_no,pose_no,n,pitch_median,pitch_mean,pitch_std,pitch_p5,pitch_p95,pitch_iqr,pitch_survival_pct,pitch_outlier_pct,yaw_median,yaw_mean,yaw_std,yaw_p5,yaw_p95,yaw_iqr,yaw_survival_pct,yaw_outlier_pct,roll_median,roll_mean,roll_std,roll_p5,roll_p95,roll_iqr,roll_survival_pct,roll_outlier_pct
c218_p1685_t0,1685,260,-29.5305,-28.5251,15.104,-51.9178,-3.0778,19.8348,68.8462,4.6154,-1.4345,-0.9357,9.3964,-17.1893,15.252,8.132,68.4615,8.0769,-0.545,-0.5074,4.7741,-9.3323,6.7621,3.9875,89.2308,7.6923
c221_p258_t0,258,242,-24.474,-24.0893,15.1012,-45.9503,-1.035,21.086,69.4215,4.5455,-1.623,-1.295,12.3567,-21.5426,19.8311,14.217,54.5455,5.7851,-0.5835,-0.8506,5.8013,-11.3921,6.6508,5.001,87.1901,6.6116
c221_p1685_t0,1685,211,-28.696,-25.4865,16.0194,-47.0275,4.8665,21.747,70.1422,6.6351,-2.292,-2.2913,13.131,-22.4495,20.503,14.8835,52.6066,6.1611,-0.796,-0.8868,5.9016,-10.828,8.6655,6.162,84.3602,5.6872
c221_p727_t0,727,235,-26.12,-22.86,15.1676,-42.6489,7.3748,20.186,71.4894,7.6596,1.382,2.4212,13.8935,-19.5192,26.5039,14.613,53.617,5.9574,0.023,0.035,5.8863,-8.2772,9.6443,5.6895,86.8085,5.5319
c221_p2341_t0,2341,751,-20.943,-20.1995,20.491,-51.0515,15.124,29.598,50.3329,3.4621,-0.331,-0.9773,12.2333,-24.2335,18.444,10.9285,60.3196,7.8562,-0.16,-0.7886,6.5046,-12.2585,9.574,5.1065,81.4913,6.5246
c232_p1685_t0,1685,236,-31.106,-28.5795,19.3218,-53.8982,7.9012,23.3193,59.7458,6.7797,-0.963,-1.1478,9.811,-15.9852,17.4308,8.532,70.339,7.2034,-0.2595,-0.7568,5.2509,-10.9422,6.5308,4.4552,87.7119,8.8983
c232_p2230_t0,2230,237,-18.283,-14.3793,17.3183,-39.003,18.66,23.989,62.8692,6.3291,9.977,11.2238,16.7743,-16.42,40.052,23.817,34.5992,3.3755,4.275,3.8735,8.301,-9.1682,16.3464,8.954,73.4177,5.4852
c238_p25_t0,25,445,-30.147,-27.1538,19.5612,-54.4828,8.18,23.831,60.8989,6.2921,0.793,1.5951,13.1739,-18.448,23.6012,14.951,52.3596,5.3933,0.72,0.8696,5.8836,-9.329,11.1972,6.209,85.3933,6.5169
c240_p28_t0,28,277,-25.956,-22.0631,20.2058,-48.8982,12.2308,31.785,48.0144,4.6931,-1.006,-1.1608,12.9457,-23.3432,20.3832,10.738,59.2058,6.4982,-0.533,-0.1429,5.7814,-8.6416,7.852,4.477,88.8087,4.3321
c240_p1685_t0,1685,513,-22.478,-19.4806,19.2181,-44.926,15.6076,26.992,56.7251,5.4581,18.949,17.9836,15.646,-8.8386,42.4386,21.042,38.7914,4.6784,5.778,6.0811,8.3526,-6.3942,19.3104,9.224,73.4893,7.0175
