cluster_no,pose_no,n,fixed_pitch_margin,fixed_yaw_margin,fixed_roll_margin,fixed_joint_keep_count,fixed_joint_survival_pct,iqr_pitch_margin,iqr_yaw_margin,iqr_roll_margin,iqr_joint_keep_count,iqr_joint_survival_pct,std_pitch_margin,std_yaw_margin,std_roll_margin,std_joint_keep_count,std_joint_survival_pct
c181_p28_t0,28,319,15,8,8,133,41.6928,23.9225,7.866,3.558,150,47.0219,17.4581,9.3374,4.7856,146,45.768
c181_p2230_t0,2230,257,15,8,8,69,26.8482,23.324,17.854,7.433,143,55.642,16.9008,13.9039,6.0183,101,39.2996
c185_p28_t0,28,363,15,8,8,32,8.8154,38.144,29.853,9.3465,220,60.6061,24.9284,20.1506,8.0628,125,34.4353
c186_p25_t0,25,624,15,8,8,96,15.3846,26.1615,23.8128,8.2595,333,53.3654,18.4589,17.9597,7.6518,223,35.7372
c197_p25_t0,25,266,15,8,8,34,12.782,32.076,22.4518,8.3208,164,61.6541,20.4186,15.8952,7.3889,91,34.2105
c205_p25_t0,25,314,15,8,8,131,41.7197,21.5003,8.9838,4.3268,141,44.9045,16.0849,10.5773,5.3241,140,44.586
c207_p2341_t0,2341,244,15,8,8,102,41.8033,19.7562,12.0422,5.38,118,48.3607,14.9956,10.9512,5.799,103,42.2131
c207_p734_t0,734,340,15,8,8,137,40.2941,22.173,9.6178,4.106,164,48.2353,16.6926,9.5812,5.7703,153,45.0
c218_p1685_t0,1685,260,15,8,8,115,44.2308,19.8348,8.132,3.9875,118,45.3846,15.104,9.3964,4.7741,109,41.9231
c221_p258_t0,258,242,15,8,8,83,34.2975,21.086,14.217,5.001,115,47.5207,15.1012,12.3567,5.8013,90,37.1901
c221_p1685_t0,1685,211,15,8,8,64,30.3318,21.747,14.8835,6.162,97,45.9716,16.0194,13.131,5.9016,71,33.6493
c221_p727_t0,727,235,15,8,8,83,35.3191,20.186,14.613,5.6895,111,47.234,15.1676,13.8935,5.8863,98,41.7021
c221_p2341_t0,2341,751,15,8,8,190,25.2996,29.598,10.9285,5.1065,344,45.8056,20.491,12.2333,6.5046,293,39.0146
c232_p1685_t0,1685,236,15,8,8,85,36.0169,23.3193,8.532,4.4552,109,46.1864,19.3218,9.811,5.2509,95,40.2542
c232_p2230_t0,2230,237,15,8,8,42,17.7215,23.989,23.817,8.954,138,58.2278,17.3183,16.7743,8.301,87,36.7089
c238_p25_t0,25,445,15,8,8,137,30.7865,23.831,14.951,6.209,224,50.3371,19.5612,13.1739,5.8836,186,41.7978
c240_p28_t0,28,277,15,8,8,72,25.9928,31.785,10.738,4.477,133,48.0144,20.2058,12.9457,5.7814,115,41.5162
c240_p1685_t0,1685,513,15,8,8,95,18.5185,26.992,21.042,9.224,290,56.5302,19.2181,15.646,8.3526,203,39.5712
c241_p25_t0,25,342,15,8,8,85,24.8538,23.6615,16.8073,7.3088,181,52.924,17.4367,13.8236,6.8055,138,40.3509
c250_p28_t0,28,581,15,8,8,177,30.4647,26.767,11.001,5.175,301,51.8072,17.1996,10.9233,5.8584,230,39.5869
c252_p2341_t0,2341,333,15,8,8,103,30.9309,25.12,13.145,4.35,168,50.4505,16.8293,12.924,5.5169,138,41.4414
c252_p734_t0,734,238,15,8,8,77,32.3529,21.2168,13.1017,4.7625,122,51.2605,15.3723,14.1773,6.0574,97,40.7563
c252_p727_t0,727,337,15,8,8,92,27.2997,28.388,11.292,4.547,175,51.9288,17.3303,11.8564,5.3978,120,35.6083
c252_p28_t0,28,209,15,8,8,56,26.7943,24.871,15.25,5.208,115,55.0239,17.1137,13.292,6.2119,82,39.2344
c252_p2263_t0,2263,227,15,8,8,90,39.6476,20.833,12.778,5.2865,111,48.8987,14.8374,13.6368,6.4069,99,43.6123
c252_p586_t0,586,255,15,8,8,59,23.1373,18.0265,20.602,8.7365,141,55.2941,15.4079,15.575,8.6595,110,43.1373
c256_p25_t0,25,418,15,8,8,96,22.9665,25.4477,17.17,7.772,232,55.5024,18.7456,14.0688,7.2479,163,38.9952
c270_p28_t0,28,609,15,8,8,210,34.4828,24.633,9.377,4.378,288,47.2906,18.2314,10.4684,5.1555,260,42.6929
c272_p1685_t0,1685,330,15,8,8,173,52.4242,19.2628,6.2478,3.2188,152,46.0606,15.669,9.3342,4.5547,167,50.6061
c272_p258_t0,258,351,15,8,8,149,42.4501,18.5445,10.8305,5.1615,170,48.433,15.4583,11.5316,5.4381,159,45.2991
c276_p2341_t0,2341,261,15,8,8,106,40.613,20.795,11.701,3.964,123,47.1264,16.8358,11.2542,5.3217,117,44.8276
c276_p1685_t0,1685,219,15,8,8,62,28.3105,23.498,15.259,5.8295,105,47.9452,16.6648,12.9711,5.3369,74,33.79
c276_p727_t0,727,243,15,8,8,125,51.4403,18.2395,6.778,3.6965,114,46.9136,13.9693,8.7332,4.5642,110,45.2675
c276_p258_t0,258,255,15,8,8,100,39.2157,21.3635,12.956,5.4145,135,52.9412,15.4648,12.0278,5.506,110,43.1373
c276_p734_t0,734,204,15,8,8,73,35.7843,20.304,12.508,5.107,96,47.0588,16.3007,12.7,4.9883,86,42.1569
c276_p2263_t0,2263,228,15,8,8,37,16.2281,29.0205,16.3205,11.1202,131,57.4561,20.0149,13.6306,9.1952,82,35.9649
c280_p28_t0,28,417,15,8,8,100,23.9808,31.791,10.284,4.357,199,47.7218,21.7018,11.9994,5.1982,159,38.1295
c285_p1685_t0,1685,287,15,8,8,115,40.0697,21.2,10.1305,4.0895,128,44.5993,15.7064,11.4966,5.035,128,44.5993
c285_p258_t0,258,485,15,8,8,183,37.732,24.313,9.855,4.245,235,48.4536,17.8286,10.5944,6.2045,224,46.1856
c290_p1685_t0,1685,216,15,8,8,79,36.5741,18.4272,15.5948,7.3172,131,60.6481,13.6844,12.1458,6.2198,94,43.5185
c294_p727_t0,727,389,15,8,8,70,17.9949,23.741,24.991,9.483,230,59.126,17.9958,18.8841,7.9878,156,40.1028
c295_p25_t0,25,230,15,8,8,58,25.2174,21.1975,15.0412,10.1808,117,50.8696,15.1382,13.5506,8.6105,82,35.6522
c297_p25_t0,25,238,15,8,8,38,15.9664,32.9055,18.7435,6.784,131,55.042,22.7141,13.9291,6.2612,89,37.395
c298_p84_t0,84,797,15,8,8,367,46.0477,20.242,9.682,4.947,410,51.4429,14.5449,11.1771,5.0899,367,46.0477
c299_p2341_t0,2341,418,15,8,8,164,39.2344,18.4025,12.3197,4.5698,193,46.1722,14.148,11.9996,5.0955,175,41.866
c299_p734_t0,734,308,15,8,8,82,26.6234,21.3467,19.1758,6.0223,143,46.4286,16.0762,15.7304,5.9886,115,37.3377
