old_cluster_id,image_count,new_cluster_id
135667,227,1018
135668,291,1019
135669,463,1020
135670,351,1021
135671,239,1022
135672,792,1023
135673,538,1024
135674,299,1025
135675,460,1026
135676,2428,1027
135677,440,1028
135678,200,1029
135679,317,1030
135680,683,1031
135681,14520,1032
135682,334,1033
135683,233,1034
135684,387,1035
135685,2344,1036
135686,437,1037
135687,270,1038
135688,268,1039
135689,1294,1040
135690,682,1041
135691,734,1042
135692,213,1043
135693,356,1044
135694,488,1045
135695,230,1046
135696,217,1047
135697,6969,1048
135698,242,1049
135699,433,1050
135700,577,1051
135701,677,1052
135702,327,1053
135703,665,1054
135704,2043,1055
135705,269,1056
135706,285,1057
135707,200,1058
135708,486,1059
135709,344,1060
135710,315,1061
135711,621,1062
135712,240,1063
135713,315,1064
135714,520,1065
135715,319,1066
135716,3469,1067
135717,489,1068
135718,1896,1069
135719,235,1070
135720,224,1071
135721,565,1072
135722,509,1073
135723,550,1074
135724,1324,1075
135725,390,1076
135726,337,1077
135727,350,1078
135728,283,1079
135729,295,1080
135730,864,1081
135731,1008,1082
135732,374,1083
135733,267,1084
135734,312,1085
135735,538,1086
135736,316,1087
135737,682,1088
135738,208,1089
135739,443,1090
135740,6895,1091
135741,446,1092
135742,2494,1093
135743,281,1094
135744,469,1095
135745,216,1096
135746,276,1097
135747,445,1098
135748,297,1099
135749,263,1100
135750,269,1101
135751,287,1102
135752,331,1103
135753,203,1104
135754,3210,1105
135755,394,1106
135756,252,1107
135757,773,1108
135758,377,1109
135759,226,1110
135760,317,1111
135761,311,1112
135762,200,1113
135763,221,1114
135764,1232,1115
135765,1652,1116
135766,509,1117
135767,438,1118
135768,226,1119
135769,275,1120
135770,1487,1121
135771,470,1122
135772,257,1123
135773,1116,1124
135774,265,1125
135775,273,1126
135776,552,1127
135777,901,1128
135778,298,1129
135779,227,1130
135780,351,1131
135781,780,1132
135782,409,1133
135783,1645,1134
135784,494,1135
135785,251,1136
135786,213,1137
135787,217,1138
135788,668,1139
135789,367,1140
135790,318,1141
135791,257,1142
135792,775,1143
135793,362,1144
135794,295,1145
135795,343,1146
135796,255,1147
135797,744,1148
135798,332,1149
135799,960,1150
135800,389,1151
135801,235,1152
135802,962,1153
135803,235,1154
135804,206,1155
135805,361,1156
135806,258,1157
135807,706,1158
135808,417,1159
135809,319,1160
135810,282,1161
135811,1098,1162
135812,211,1163
135813,556,1164
135814,685,1165
135815,386,1166
135816,253,1167
135817,541,1168
135818,445,1169
135819,360,1170
135820,376,1171
135821,249,1172
135822,261,1173
135823,652,1174
135824,704,1175
135825,209,1176
135826,892,1177
135827,1629,1178
135828,374,1179
135829,435,1180
135830,334,1181
135831,347,1182
135832,448,1183
135833,293,1184
135834,475,1185
135835,424,1186
135836,244,1187
135837,205,1188
135838,345,1189
135839,217,1190
135840,492,1191
135841,348,1192
135842,230,1193
135843,200,1194
135844,727,1195
135845,209,1196
135846,1168,1197
135847,212,1198
135848,433,1199
135849,267,1200
135850,235,1201
135851,256,1202
135852,324,1203
135853,254,1204
135854,303,1205
135855,203,1206
135856,679,1207
135857,718,1208
135858,236,1209
135859,382,1210
135860,232,1211
135861,580,1212
135862,294,1213
135863,449,1214
135864,271,1215
135865,343,1216
135866,326,1217
135867,288,1218
135868,322,1219
135869,229,1220
135870,217,1221
135871,242,1222
135872,220,1223
135873,295,1224
135874,315,1225
135875,249,1226
135876,364,1227
135877,258,1228
135878,339,1229
135879,242,1230
135880,215,1231
135881,556,1232
135882,505,1233
135883,853,1234
135884,294,1235
135885,473,1236
135886,295,1237
135887,355,1238
135888,247,1239
135889,215,1240
135890,279,1241
135891,237,1242
135892,554,1243
135893,201,1244
135894,313,1245
135895,325,1246
135896,316,1247
135897,319,1248
135898,220,1249
135899,261,1250
135900,227,1251
135901,292,1252
135902,299,1253
135903,213,1254
135904,247,1255
135905,220,1256
135906,251,1257
135907,230,1258
135908,569,1259
135909,347,1260
135910,223,1261
135911,299,1262
135912,307,1263
135913,299,1264
135914,357,1265
135915,228,1266
135916,324,1267
135917,282,1268
135918,537,1269
135919,266,1270
135920,789,1271
135921,1123,1272
135922,536,1273
135923,331,1274
135924,214,1275
135925,393,1276
135926,225,1277
135927,274,1278
135928,219,1279
135929,250,1280
135930,242,1281
135931,200,1282
135932,268,1283
135933,313,1284
135934,241,1285
135935,212,1286
135936,237,1287
135937,269,1288
135938,267,1289
135939,275,1290
135940,261,1291
135941,389,1292
135942,314,1293
135943,225,1294
135944,270,1295
135945,347,1296
135946,445,1297
135947,209,1298
135948,297,1299
